id,level,surface,category,example_jp_current,tts_text_actual,evidence,source,generated_at
w_be4b2b8277c1d5eb,N4,味,speaker_label_or_space_only,イ：この料理は合わない材料がごちゃ混ぜになって変な味がする。,この料理は合わない材料がごちゃ混ぜになって変な味がする。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_6c5961195e358c1a,N4,残念,material_text_change,会えなくて残念だ,彼の死は実に残念なことだ.,legacy_audio_sha256+prehash_db,git:98566ec/assets/jlpt.db,
w_672fe2093b0dc0ac,N4,確か,material_text_change,確かに叫び声を聞いた,その情報は確かだ。,same_id_generation_report,data/pdf-vocab/example_review_example_tts_report.json,2026-08-20T01:04:14.487322+00:00
w_8150d23de8ee7dd5,N4,簡単,material_text_change,話せば簡単だ.と言って誰にも実行できることではない,弟はいつも簡単にできる易しい仕事ばかりしようとする。,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_7b8922533fb71c49,N4,聞き取り,speaker_label_or_space_only,イ：君、英語の聞き取りテストはうまくいった？,君、英語の聞き取りテストはうまくいった？,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_e431b1a6abf799bf,N3,お互い,speaker_label_or_space_only,イ：お互い信じて支え合い、生きていくことを願います。,お互い信じて支え合い、生きていくことを願います。,same_id_generation_report,data/pdf-vocab/n5n4_example_cleanup_tts_report.json,2026-08-18T02:31:58.074103+00:00
w_98ef0c87ce249536,N3,さっさと,speaker_label_or_space_only,ロ：のろのろ答えないで、さっさと言ってもらえない？,のろのろ答えないで、さっさと言ってもらえない？,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_76888fa930968791,N3,ぶつぶつ,speaker_label_or_space_only,イ：何をぶつぶつ言うんだ？,何をぶつぶつ言うんだ？,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_3d3ebf43e5e3e709,N3,アドバイス,speaker_label_or_space_only,イ：私のアドバイスを無視しないでください。,私のアドバイスを無視しないでください。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_87dc0f0b335d2713,N3,セール,speaker_label_or_space_only,ロ：いいえ、お客様。その値段は定価であり、そこで20％セールをした価格で販売しています。,いいえ、お客様。その値段は定価であり、そこで20％セールをした価格で販売しています。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_16d4b8043ccddd54,N3,テニスコート,speaker_label_or_space_only,ロ：テニスコートを通り過ぎる時にボールが当たったんだ。,テニスコートを通り過ぎる時にボールが当たったんだ。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_42e866c37406b5ad,N3,メンバー,speaker_label_or_space_only,ロ：うちのサークルのメンバーはお互い気がよく合うんだ。,うちのサークルのメンバーはお互い気がよく合うんだ。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_b978baf68d3eeddd,N3,一斉,material_text_change,町のよた者を一斉に検挙する.,一斉説明する。,same_id_generation_report,data/pdf-vocab/remaining_review_example_tts_report.json,2026-08-20T02:06:52.967868+00:00
w_24a323997a9c1464,N3,上旬,speaker_label_or_space_only,ロ：まだ3月上旬だから、若菜摘みに行くにはちょっと早い。,まだ3月上旬だから、若菜摘みに行くにはちょっと早い。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_dff1a1570059dc3c,N3,会館,speaker_label_or_space_only,イ：町の会館に立てられているアーチ見た？,町の会館に立てられているアーチ見た？,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_82c6a586ddfa931f,N3,先日,speaker_label_or_space_only,イ：先生、こんにちは。先日お送りいたしました電子メールに対する返信をいだだいておりませんので、お電話いたしました。,先生、こんにちは。先日お送りいたしました電子メールに対する返信をいだだいておりませんので、お電話いたしました。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_cbaa90d9cde4ed8e,N3,別々,material_text_change,別々に包装してください。,別々説明する。,same_id_generation_report,data/pdf-vocab/remaining_review_example_tts_report.json,2026-08-20T02:06:52.967868+00:00
w_56677fa9c9e5770f,N3,売買,speaker_label_or_space_only,ロ：中古車は売買する前に、必ず事故歴を確認しなければならないよ。,中古車は売買する前に、必ず事故歴を確認しなければならないよ。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_378b3c15443f0b8d,N3,安易,material_text_change,性格が安易だ。,安易に妥協しない,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_5ccd774e1051377f,N3,定員,speaker_label_or_space_only,ロ：当塾は少数定員制で運営しており、一クラスの人数が6人を超えません。,当塾は少数定員制で運営しており、一クラスの人数が6人を超えません。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_587d525e8f77f2d2,N3,得意,material_text_change,ジスは国語が得意だ。 しかし、数学は苦手だ。,あなたの持つ才能を使いなさい。もし歌の得意な鳥だけしか歌わないとしたら、森は静まり返ってしまうだろう。 (ヘンリ ヴァン・ダイク),same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_fc7adcb9e20962f9,N3,文句,speaker_label_or_space_only,ロ：分からない。さっきから何が不満なのか文句ばかり言っている。,分からない。さっきから何が不満なのか文句ばかり言っている。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_46334adf72bc79e2,N3,明らか,material_text_change,薬の効き目が明らかだ.,事件の真相が明らかにされた.,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_590ac7dc460a6dd7,N3,正直,material_text_change,あの人は正直だ,うちのクラスの教訓は正直さと誠実さである。,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_336c7a453b67331c,N3,気楽,material_text_change,年上が気楽だ。,気楽に話しかける,same_id_generation_report,data/pdf-vocab/naver_rebalance_tts_generation_report.json,2026-08-19T02:37:12.661841+00:00
w_a78d96d6d5f872cb,N3,申込書,speaker_label_or_space_only,ロ：ここの申込書を書いてください。,ここの申込書を書いてください。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_6a90a5c50dd135be,N3,短期,speaker_label_or_space_only,ロ：短期的に表れる現象なので、ご安心ください。,短期的に表れる現象なので、ご安心ください。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_0bdbd4b7a3daa576,N3,素直,material_text_change,品性が素直だ。,素直に話す姿を見ると、彼の性格がおとなしいようだった。,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_16e5391cf5819f4f,N3,裏側,speaker_label_or_space_only,イ：袋の裏側に穴があって、そこから漏れている。,袋の裏側に穴があって、そこから漏れている。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_60f6e19fe71ab31c,N3,重要,material_text_change,外見も重要だが、それに劣らず性格も重要だ。,重要な箇所が脱漏していた.,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_df31d418cc0b41ae,N3,鋭い,speaker_label_or_space_only,イ：キム記者の質問はとても鋭いですね。,キム記者の質問はとても鋭いですね。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_fb4cccb6a2d8a5d6,N2,お手伝いさん,speaker_label_or_space_only,ロ:お手伝いさんを雇うのはどう？,お手伝いさんを雇うのはどう？,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_295d47ac323c9139,N2,ご苦労さま,speaker_label_or_space_only,ロ：全て日本語に変えたんですね。ご苦労さまでした。,全て日本語に変えたんですね。ご苦労さまでした。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_d3d2b10204204a0d,N2,ずらり,speaker_label_or_space_only,イ: 遊園地の入口にずらりと並んでいるあの車をちょっと見て。,遊園地の入口にずらりと並んでいるあの車をちょっと見て。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_5c91c9030e80a0f2,N2,そのため,speaker_label_or_space_only,ロ：そうです。そのため韓国と交易する国も多くなりました。,そうです。そのため韓国と交易する国も多くなりました。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_062802327bbd983b,N2,キャプテン,speaker_label_or_space_only,ロ：左腕に腕章をつけた選手がキャプテンです。,左腕に腕章をつけた選手がキャプテンです。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_6e41549e5b443d35,N2,コンスタント,material_text_change,コンスタントに売れる,コンスタント力なしに世界では戦えないため、日々の努力で少しずつ力をつける。,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_d66201884ced4538,N2,コンセント,speaker_label_or_space_only,イ：コンセントにプラグがあまりにも挿され過ぎています。,コンセントにプラグがあまりにも挿され過ぎています。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_781b744ff9b2998d,N2,ビルディング,speaker_label_or_space_only,ロ：海外でビルディングを建設する仕事をしています。,海外でビルディングを建設する仕事をしています。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_efea8d64c87236ab,N2,ラッシュアワー,speaker_label_or_space_only,イ：かなり遅れましたよね。ラッシュアワーで渋滞していて立ち往生していました。,かなり遅れましたよね。ラッシュアワーで渋滞していて立ち往生していました。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_1e7ffdddebe4c582,N2,不安,material_text_change,夫と私は一定の月収がないので、暮らしがいつも不安だ。,一抹の不安が無くもない.,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_afe0b130cc4ed3c3,N2,人造,speaker_label_or_space_only,ロ：天然じゃなくて人造で作った服なんだ。,天然じゃなくて人造で作った服なんだ。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_77fb8557b6af733f,N2,余計,material_text_change,ロ:それは君の誤解だよ。余計な迷信だ。,一人の女性について思い浮かべてみよう。彼女はあなたが彼女を想っていることを知らない。彼女からしたら、あなたが彼女を想っていることなんてどうでもいいのだ。だから余計に彼女のことを想ってしまうのだ。(マーティン・セイジ),same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_dc9e68a1700899e0,N2,先程,speaker_label_or_space_only,ロ：先程入れましたが、温度をもっとあげますね。,先程入れましたが、温度をもっとあげますね。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_626f64111904cbe0,N2,全般,speaker_label_or_space_only,ロ：はい、全般的な内容が私の主張と一脈相通じるようでした。,はい、全般的な内容が私の主張と一脈相通じるようでした。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_a48bcd854a68df94,N2,公害,speaker_label_or_space_only,ロ：公害による環境汚染を減らすことができ、税制優遇も受けられます。,公害による環境汚染を減らすことができ、税制優遇も受けられます。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_1cc5575c4d1ea6e8,N2,公衆,speaker_label_or_space_only,ロ：公衆無線インターネットがありますので自由に使ってください。,公衆無線インターネットがありますので自由に使ってください。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_d36360bc88c65d29,N2,兵隊,speaker_label_or_space_only,イ：何で至るところに兵隊が配置されているんだ？,何で至るところに兵隊が配置されているんだ？,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_ca953bed102a78e0,N2,刺激,speaker_label_or_space_only,ロ：それでも成功した人々を見て刺激を受けるほうがはるかに役立つと思うますが。,それでも成功した人々を見て刺激を受けるほうがはるかに役立つと思うますが。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_9ea346dbfdc4c768,N2,叔母,speaker_label_or_space_only,ロ：祖母と祖父から叔母、外叔、叔母など、家族全員が一緒に行くんだ。,祖母と祖父から叔母、外叔、叔母など、家族全員が一緒に行くんだ。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_6bd3f9448ae0e3a2,N2,地味,material_text_change,このワンピースは前の様子は派手だが、後ろの様子は地味だ。,いつも地味な身なりをしている.,same_id_generation_report,data/pdf-vocab/orthography_tts_generation_report.json,2026-08-10T04:20:08.493948+00:00
w_23b918ab85d1f8ae,N2,地盤,speaker_label_or_space_only,ロ：地盤が丈夫ではないので建物を建てると地面が崩れる恐れがあります。,地盤が丈夫ではないので建物を建てると地面が崩れる恐れがあります。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_88c2161baa29b75f,N2,坊さん,speaker_label_or_space_only,イ：お坊さん、僧侶になろうと、お坊さんを訪ねてまいりました。,お坊さん、僧侶になろうと、お坊さんを訪ねてまいりました。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_d791648b4df44475,N2,妙,material_text_change,姿勢が妙だ。,昨晩は妙な夢を見た.,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_85539308d155e6d1,N2,局,speaker_label_or_space_only,ロ：うん。今日はA局の番組がABC放送局で中継放送されるよ。,うん。今日はA局の番組がABC放送局で中継放送されるよ。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_199fa6a64b832089,N2,幸い,material_text_change,あれでもあるから幸いだ.,幸いにいい職場を得た.,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_ce285518225afb6d,N2,構いません,speaker_label_or_space_only,ロ:認印を押しても構いません。,認印を押しても構いません。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_12f5d73fd4230ee4,N2,正方形,speaker_label_or_space_only,ロ：６つの正方形になります。,６つの正方形になります。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_980d66f98bbc895c,N2,派手,material_text_change,文体が派手だ。,そのデザインは派手すぎます。,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_1471aa8114e77f9f,N2,溜息,speaker_label_or_space_only,ロ：どうかした？何で溜息を吐いているの？,どうかした？何で溜息を吐いているの？,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_b872479d7bbca66e,N2,演技,speaker_label_or_space_only,ロ：高校の時、初めて演劇を見て、演技への渇望を抱くようになったと思います。,高校の時、初めて演劇を見て、演技への渇望を抱くようになったと思います。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_de42b53ac78fd7b6,N2,百科事典,speaker_label_or_space_only,イ：オンラインで百科事典を利用したことある？,オンラインで百科事典を利用したことある？,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_3641979f0bd2de45,N2,管理,speaker_label_or_space_only,ロ：パソコン・システムで生産施設の各部を管理・統制しています。,パソコン・システムで生産施設の各部を管理・統制しています。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_01e82a3b4d12f965,N2,簡略,material_text_change,内容が簡略だ。,説明を簡略にする,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_03df4391d73554e1,N2,粗末,material_text_change,建物はお粗末だ,実際に経験してみると、キム代理は噂よりずいぶんお粗末な人だった。,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_302957a5eb4aa619,N2,経度,speaker_label_or_space_only,ロ：船が航海している方向は、緯度と経度を見ればわかります。,船が航海している方向は、緯度と経度を見ればわかります。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_7087b27273d496b5,N2,絶対,material_text_change,絶対に負けないと豪語する.,絶対説明する。,same_id_generation_report,data/pdf-vocab/remaining_review_example_tts_report.json,2026-08-20T02:06:52.967868+00:00
w_7d3e23cc3be0aacc,N2,脱線,speaker_label_or_space_only,イ：あの議員は、論旨から脱線した話しばかりしきりにするね。,あの議員は、論旨から脱線した話しばかりしきりにするね。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_066e002247100e63,N2,豊か,material_text_change,彼女は声量が豊かだ.,あの人は声量が豊かだ,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_1b8df6558c35bea4,N2,豊富,material_text_change,最近は雨が少しずつ頻繁に降るため、水が豊富だ。,その本[彼の演説]は中身が豊富だ.,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_f52c956469dac353,N2,貴重,material_text_change,宝物が貴重だ。,貴重な資料が死蔵されている.,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_22a55073734acb78,N2,適切,material_text_change,状況が適切だ。,適切な方法だという評価が下された.,same_id_generation_report,data/pdf-vocab/example_tts_generation_report.json,2026-08-09T16:58:01.081868+00:00
w_c530d263e6c6b918,N1,うずうず,speaker_label_or_space_only,ロ：うん。口がうずうずするけど、我慢してみる。,うん。口がうずうずするけど、我慢してみる。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_27a3e7cf4b5f70f5,N1,だったら,speaker_label_or_space_only,ロ：だったら、ジャケットの肩の部分にパッドを敷いてみてください。,だったら、ジャケットの肩の部分にパッドを敷いてみてください。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_59f80d4dc5e14879,N1,とんだ,punctuation_only,今日はとんだ厄日だった。,今日はとんだ厄日だった.,legacy_audio_sha256+prehash_db,git:98566ec/assets/jlpt.db,
w_07538960d746fa8e,N1,アクセル,speaker_label_or_space_only,ロ：うん、ドライバーがブレーキ踏もうとしたのにミスしてアクセルペダルを踏んだらしい。,うん、ドライバーがブレーキ踏もうとしたのにミスしてアクセルペダルを踏んだらしい。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_e2438e51c00bb53d,N1,ナンセンス,speaker_label_or_space_only,ロ:うん。でもご飯を食べない代わりにチョコレートをご飯よりたくさん食べていてナンセンスのほかにない。,うん。でもご飯を食べない代わりにチョコレートをご飯よりたくさん食べていてナンセンスのほかにない。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_433b9769a3ecbeef,N1,ホース,speaker_label_or_space_only,ロ：水をちょっとあげないとね。ホースを蛇口につないでくれる？,水をちょっとあげないとね。ホースを蛇口につないでくれる？,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_150dcbd2b6dcb160,N1,ロープウェイ,speaker_label_or_space_only,ロ：ロープウェイに乗せて送ります。,ロープウェイに乗せて送ります。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_af5b68f93b7fad6a,N1,主任,speaker_label_or_space_only,ロ：主任を任されて、肩が重いです。,主任を任されて、肩が重いです。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_d06f4fb273f350f4,N1,享受,speaker_label_or_space_only,ロ：今享受しているものを全部捨てて、ただの匹夫として生きられると思う？,今享受しているものを全部捨てて、ただの匹夫として生きられると思う？,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_e1947d121eacb34e,N1,俄,material_text_change,俄には答えられない,これは俄だ。,same_id_generation_report,data/pdf-vocab/remaining_review_example_tts_report.json,2026-08-20T02:06:52.967868+00:00
w_0c5742679b0cb098,N1,健やか,material_text_change,赤ちゃんの健やかな成長を祈る,お健やかにお過ごしのことと存じます.,same_id_generation_report,data/pdf-vocab/n1_scope_tts_generation_report.json,2026-08-18T14:12:00.526311+00:00
w_107011573571e52d,N1,克明,material_text_change,その場の場景を克明に述べる,事故の様子を克明に記録する。,same_id_generation_report,data/pdf-vocab/remaining_review_example_tts_report.json,2026-08-20T02:06:52.967868+00:00
w_32aa9133403521c6,N1,兼業,speaker_label_or_space_only,イ：この会社は、原則として兼業が禁じられています。,この会社は、原則として兼業が禁じられています。,same_id_generation_report,data/pdf-vocab/crumb_cleanup_example_tts_report.json,2026-08-18T05:44:01.162609+00:00
w_e1145cd44757f7f5,N1,勇敢,material_text_change,彼女は勇敢に意見を述べた。,勇敢な決断だった。,same_id_generation_report,data/pdf-vocab/example_review_example_tts_report.json,2026-08-20T01:04:14.487322+00:00
