id,level,surface,reading_kana,meaning_ko,severity,queue,accepted_reason,issues,catalog_status,catalog_level,catalog_pron,catalog_entry,search_status,search_level,search_entry,jmdict_issue,jmdict_detail,example_source,example_contain_basis,example_jp,spelling_note,naver_means,source_url
w_9965df3c9edf91a3,N5,始まる,はじまる,시작되다,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,始まる,,,naver,surface,鰹船の出港が始まる,,,https://ja.dict.naver.com/#/search?query=%E5%A7%8B%E3%81%BE%E3%82%8B
w_d8dcbb01e7e6526f,N5,どう致しまして,どういたしまして,천만에요,accepted,search-unmatched,현대 표기(々) 또는 관용·복합 학습 카드. 네이버 목록 표제어와 철자가 달라도 유지.,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,self,surface,どう致しまして。,,,https://ja.dict.naver.com/#/search?query=%E3%81%A9%E3%81%86%E8%87%B4%E3%81%97%E3%81%BE%E3%81%97%E3%81%A6
w_a1a38e164f0a3264,N5,八十円,はちじゅうえん,80엔,accepted,counter,조수사·수량 카드. 네이버 목록은 조수사 형태소만 두는 경우가 많다.,naver-level-missing;spelling-surface-not-in-jmdict;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,surface-not-in-jmdict,no JMdict kanji form matches this surface,self,surface,この鉛筆は八十円です。,,,https://ja.dict.naver.com/#/search?query=%E5%85%AB%E5%8D%81%E5%86%86
w_ea6f68c218e562a7,N5,お腹,おなか,배,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,御中·御腹,,,self,surface,お腹について話す。,,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E8%85%B9
w_e3d3cc0b38f77224,N5,二キロ,にキロ,2킬로미터,accepted,counter,조수사·수량 카드. 네이버 목록은 조수사 형태소만 두는 경우가 많다.,naver-level-missing;spelling-surface-not-in-jmdict;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,surface-not-in-jmdict,no JMdict kanji form matches this surface,naver,surface,学校から半径二キロ以内にある.,,,https://ja.dict.naver.com/#/search?query=%E4%BA%8C%E3%82%AD%E3%83%AD
w_b064045ef64d646b,N5,お母さん,おかあさん,어머니,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,お母さん∙御母さん,,,naver,surface,"お母さん,うちの人はまだ帰りません.",,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E6%AF%8D%E3%81%95%E3%82%93
w_412d7a3479a4f8a3,N5,二匹,にひき,두 마리(고양이),accepted,spelling,조수사 합성 표기. JMdict 표제어가 없어도 학습 카드로 유지. counter compound; JMdict has no 二匹 lemma.,spelling-surface-not-in-jmdict,match,N5,二匹,%E3%81%AB%E3%81%B2%E3%81%8D,,,,surface-not-in-jmdict,no JMdict kanji form matches this surface,naver,surface,二匹の猫がベランダで日向ぼっこをしている,,2마리,https://ja.dict.naver.com/#/search?query=%E4%BA%8C%E5%8C%B9
w_a4f86ff3aa7df0b8,N5,買い物,かいもの,"쇼핑, 장보기",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,買(い)物,,,naver,surface,買い物かごを持って買い物へ行った,,,https://ja.dict.naver.com/#/search?query=%E8%B2%B7%E3%81%84%E7%89%A9
w_11a2c660fd649dc1,N5,お姉さん,おねえさん,누나/언니,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,お姉さん·御姉さん,,,naver,surface,お姉さんとわたしは三歳ちがいだ.,,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E5%A7%89%E3%81%95%E3%82%93
w_87351a3c5f2160a9,N5,時々,ときどき,때때로,accepted,no-jlpt-badge,네이버가 이 표기+읽기에 JLPT 배지를 붙이지 않는다. 학습 카드로 유지.,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,東京タワー〜オカンとボクと、時々、オトン〜,,,naver,surface,時々、皮膚にちくっとした痛みを感じる,,,https://ja.dict.naver.com/#/search?query=%E6%99%82%E3%80%85
w_5284226e672d96c5,N5,二冊,にさつ,두 권(잡지),accepted,counter,조수사·수량 카드. 네이버 목록은 조수사 형태소만 두는 경우가 많다.,naver-level-missing;spelling-surface-not-in-jmdict,naver_level_missing,,,,search_no_jlpt,,二冊,surface-not-in-jmdict,no JMdict kanji form matches this surface,self,surface,この雑誌を二冊買いました。,,,https://ja.dict.naver.com/#/search?query=%E4%BA%8C%E5%86%8A
w_b24621b76259caa8,N5,三冊,さんさつ,세 권(책),accepted,counter,조수사·수량 카드. 네이버 목록은 조수사 형태소만 두는 경우가 많다.,naver-level-missing;spelling-surface-not-in-jmdict,naver_level_missing,,,,search_no_jlpt,,三冊,surface-not-in-jmdict,no JMdict kanji form matches this surface,self,surface,図書館で本を三冊借りました。,,,https://ja.dict.naver.com/#/search?query=%E4%B8%89%E5%86%8A
w_9f48fc575582aa14,N5,生まれる,うまれる,태어나다,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,生(ま)れる·産(ま)れる,,,naver,surface,山川の精気を受けて生まれる.,,,https://ja.dict.naver.com/#/search?query=%E7%94%9F%E3%81%BE%E3%82%8C%E3%82%8B
w_4dd00aad4051c89d,N5,飲み物,のみもの,마실 것,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,飲(み)物,,,naver,surface,飲み物をご用意しましょうか?,,,https://ja.dict.naver.com/#/search?query=%E9%A3%B2%E3%81%BF%E7%89%A9
w_2528221ac1c4f279,N5,入り口,いりぐち,입구,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,入(り)口,,,naver,surface,ロッククライミング場として知られる芦屋ロック・ガーデンの入り口,,,https://ja.dict.naver.com/#/search?query=%E5%85%A5%E3%82%8A%E5%8F%A3
w_3c9e0c4d130ffe55,N5,掛かる,かかる,"(시간·비용이) 들다, 걸리다",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,掛(か)る,,,self,surface,結果が気に掛かる。,,,https://ja.dict.naver.com/#/search?query=%E6%8E%9B%E3%81%8B%E3%82%8B
w_3473a458725f217a,N5,交差点,こうさてん,교차로,accepted,no-jlpt-badge,네이버가 이 표기+읽기에 JLPT 배지를 붙이지 않는다. 학습 카드로 유지.,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,交差点·交叉点,,,naver,surface,次の交差点で降ろして[右折して]ください.,,,https://ja.dict.naver.com/#/search?query=%E4%BA%A4%E5%B7%AE%E7%82%B9
w_f12b7cd5ea51cf7a,N5,貼る,はる,붙이다,accepted,no-jlpt-badge,네이버가 이 표기+읽기에 JLPT 배지를 붙이지 않는다. 학습 카드로 유지.,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,貼る,,,self,surface,壁にポスターを貼る。,,,https://ja.dict.naver.com/#/search?query=%E8%B2%BC%E3%82%8B
w_728f59d1c6f9c5f4,N5,履く,はく,"(바지를) 입다, (신발·양말을) 신다",accepted,no-jlpt-badge,네이버가 이 표기+읽기에 JLPT 배지를 붙이지 않는다. 학습 카드로 유지.,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,履く,,,self,surface,出かける前に靴を履く。,,,https://ja.dict.naver.com/#/search?query=%E5%B1%A5%E3%81%8F
w_a430acefffcd0bfe,N5,小父さん,おじさん,아저씨,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,伯父さん·叔父さん·小父さん,,,naver,surface,イ：小父さん、急ぎの用なので、もっと早く行って下さい。,,,https://ja.dict.naver.com/#/search?query=%E5%B0%8F%E7%88%B6%E3%81%95%E3%82%93
w_01f119facf6e9d97,N5,伯父さん,おじさん,부모보다 나이가 많은 삼촌; 아저씨,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,伯父さん·叔父さん·小父さん,,,naver,surface,イ：伯父さん、お母さんが幼い頃はどうでしたか。,,,https://ja.dict.naver.com/#/search?query=%E4%BC%AF%E7%88%B6%E3%81%95%E3%82%93
w_991b3f178bb17c4b,N5,曲がる,まがる,"돌다, (방향을) 틀다",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,曲(が)る,,,naver,surface,路地を突き当たって右に曲がる.,,,https://ja.dict.naver.com/#/search?query=%E6%9B%B2%E3%81%8C%E3%82%8B
w_69c992c9db76a823,N5,叔父さん,おじさん,부모보다 나이가 어린 삼촌; 아저씨,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,伯父さん·叔父さん·小父さん,,,naver,surface,イ：ジス、今日は伯父さんの家に挨拶に行ったから、明日は叔父さんの家に行こう。,,,https://ja.dict.naver.com/#/search?query=%E5%8F%94%E7%88%B6%E3%81%95%E3%82%93
w_95504292f83e24e8,N5,閉まる,しまる,닫히다,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N5,閉(ま)る,,,naver,surface,窓ががちゃりと閉まる.,,,https://ja.dict.naver.com/#/search?query=%E9%96%89%E3%81%BE%E3%82%8B
w_37ce577d9573c9b7,N4,方,かた,"분, 방향, 방법",accepted,homograph,수동 검수에서 네이버 검색의 해당 의미 급수로 옮김. 카탈로그는 동음이의로 남아 목록 매칭이 애매해도 카드 뜻은 확정.,level-ambiguous,manual_review,N2,方·片,%E3%81%8B%E3%81%9F,manual_review,N3,方,,,naver,surface,話し方と同様に聞き方も大切だ.,,결말;처리,https://ja.dict.naver.com/#/search?query=%E6%96%B9
w_27f194a34e98e0b0,N4,ゲーム,ゲーム,게임,accepted,homograph,동음이의. 카드 뜻과 맞는 네이버 항목이 앱 급수에 있다. live has both N4 and N2 ゲーム.,level-ambiguous,manual_review,N2,,ゲーム,manual_review,N4,ゲーム,,,naver,surface,これ以上に糞ゲームってある？,,놀이. 유희;경기. 시합;계략. 전략,https://ja.dict.naver.com/#/search?query=%E3%82%B2%E3%83%BC%E3%83%A0
w_aae7ac3f2729716f,N4,この頃,このごろ,"요즘, 최근; 요즈음",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,この頃·此の頃,,,naver,surface,この頃疲れていて会社によく遅刻する。,,,https://ja.dict.naver.com/#/search?query=%E3%81%93%E3%81%AE%E9%A0%83
w_e788698d1bb0ba86,N4,写真家,しゃしんか,사진가,accepted,no-jlpt-badge,네이버가 이 표기+읽기에 JLPT 배지를 붙이지 않는다. 학습 카드로 유지.,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,写真家,,,naver,surface,あの写真家は人が動く瞬間を早く捉えるスナップ写真で有名だった。,,,https://ja.dict.naver.com/#/search?query=%E5%86%99%E7%9C%9F%E5%AE%B6
w_c6b8fa6c4f3b37b1,N4,気持ち,きもち,"기분, 느낌",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,気持(ち),,,naver,surface,誇らしい気持ちになる,,,https://ja.dict.naver.com/#/search?query=%E6%B0%97%E6%8C%81%E3%81%A1
w_26b1c6419970fa60,N4,早く,はやく,"일찍, 빨리",accepted,no-jlpt-badge,네이버가 이 표기+읽기에 JLPT 배지를 붙이지 않는다. 학습 카드로 유지.,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,早く,,,self,surface,早く説明する。,,,https://ja.dict.naver.com/#/search?query=%E6%97%A9%E3%81%8F
w_4fd11cf4f5345777,N4,お大事に,おだいじに,"몸조심하세요, 쾌차하세요",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,お大事に·御大事に,,,naver,surface,くれぐれも[どうぞ]、お大事に,,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E5%A4%A7%E4%BA%8B%E3%81%AB
w_20a6593be7f32866,N4,終わり,おわり,끝,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,終(わ)り,,,naver,surface,私の話はこれで終わりだ,,,https://ja.dict.naver.com/#/search?query=%E7%B5%82%E3%82%8F%E3%82%8A
w_82d2d40c223c0fc0,N4,中々,なかなか,"매우, 상당히, 꽤",accepted,search-unmatched,현대 표기(々) 또는 관용·복합 학습 카드. 네이버 목록 표제어와 철자가 달라도 유지.,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,self,surface,この問題は中々難しい。,,,https://ja.dict.naver.com/#/search?query=%E4%B8%AD%E3%80%85
w_bb5fea9b072bbd3e,N4,答え,こたえ,"답, 대답",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,答(え),,,naver,surface,答えが返ってこない,,,https://ja.dict.naver.com/#/search?query=%E7%AD%94%E3%81%88
w_5b55a10a5d6814d6,N4,日本製,にほんせい,일본제(품),accepted,search-unmatched,현대 표기(々) 또는 관용·복합 학습 카드. 네이버 목록 표제어와 철자가 달라도 유지.,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,接着剤の材料に使われる日本製ポリビニール・アルコールが米国でダンピングされていると認められている,,,https://ja.dict.naver.com/#/search?query=%E6%97%A5%E6%9C%AC%E8%A3%BD
w_d4ee661eeb6fa516,N4,代わり,かわり,"대신, 대체",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,代(わ)り·替(わ)り·換(わ)り,,,naver,surface,印章の代わりにサインをする.,,,https://ja.dict.naver.com/#/search?query=%E4%BB%A3%E3%82%8F%E3%82%8A
w_3e81e925549791a4,N4,変わる,かわる,"바꾸다, 변하다, 변형되다, 다양하다",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,変(わ)る,,,naver,surface,気候が変わると植生も変わる,,,https://ja.dict.naver.com/#/search?query=%E5%A4%89%E3%82%8F%E3%82%8B
w_e12f8a407f734e3c,N4,一杯,いっぱい,"가득 찬, 최대한의",accepted,homograph,동음이의. 카드 뜻과 맞는 네이버 항목이 앱 급수에 있다. live has N4 and N5 一杯; app sense matches N4.,level-ambiguous,manual_review,N4,一杯,いっぱい,manual_review,N5,一杯,,,naver,surface,ロ：うん。私はごみで一杯になったゴミ箱から空にするね。,,가득;있는 한도를 다하는 모양;…껏,https://ja.dict.naver.com/#/search?query=%E4%B8%80%E6%9D%AF
w_44f5a21a231cf355,N4,いつか,いつか,언젠가; 어느 날,accepted,homograph,수동 검수에서 네이버 검색의 해당 의미 급수로 옮김. 카탈로그는 동음이의로 남아 목록 매칭이 애매해도 카드 뜻은 확정.,level-ambiguous,manual_review,N4,何時か,いつか,manual_review,N5,五日,,,self,surface,いつか日本で働きたい。,,"언젠가;전하여, 이전에;조만간에;언젠가는;어느 사이에",https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%81%A4%E3%81%8B
w_3fb531f80eb37d45,N4,お祭り,おまつり,축제,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,お祭り·御祭り,,,naver,surface,お祭り気分に浮かれている.,,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E7%A5%AD%E3%82%8A
w_98601c5f9fe56540,N4,うまい,うまい,"(1) 맛있다, (2) 능숙하다",accepted,homograph,동음이의. 카드 뜻과 맞는 네이버 항목이 앱 급수에 있다. N4 旨い covers this card; N2 is 上手い only.,level-ambiguous,manual_review,N2,上手い·巧い,うまい,manual_review,N4,旨い·甘い·美味い·上手い·巧い,,,self,surface,この料理はうまい。,,솜씨가 뛰어나다;좋다;잘하다,https://ja.dict.naver.com/#/search?query=%E3%81%86%E3%81%BE%E3%81%84
w_8794ea0733093080,N4,びっくりする,びっくりする,놀라다,accepted,suru-compound,동사 카드(어간+する). 네이버 목록은 명사 표제어만 둔다.,naver-level-missing;spelling-kana-not-in-jmdict;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,kana-not-in-jmdict,kana form absent from JMdict readings,naver,surface,身がすくむほどびっくりする.,,,https://ja.dict.naver.com/#/search?query=%E3%81%B3%E3%81%A3%E3%81%8F%E3%82%8A%E3%81%99%E3%82%8B
w_1f3b58708b016b7f,N4,そば,そば,"옆, 곁",accepted,homograph,수동 검수에서 네이버 검색의 해당 의미 급수로 옮김. 카탈로그는 동음이의로 남아 목록 매칭이 애매해도 카드 뜻은 확정.,level-ambiguous,manual_review,N4,稜,そば,manual_review,N5,蕎麦,,,naver,surface,私のそばにいてください。,,귀퉁이;모서리;はかま나 指貫의 옆구리를 튼 데,https://ja.dict.naver.com/#/search?query=%E3%81%9D%E3%81%B0
w_ffefb3b5ec05aab1,N4,増える,ふえる,"늘다,증가하다",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,増える∙殖える,,,naver,surface,美ジョガー人口が増える,,,https://ja.dict.naver.com/#/search?query=%E5%A2%97%E3%81%88%E3%82%8B
w_98c5ecbe9b1af8f0,N4,ひげ,ひげ,수염,accepted,homograph,동음이의. 카드 뜻과 맞는 네이버 항목이 앱 급수에 있다. N4 髭 is 수염; N3 is 卑下.,level-ambiguous,manual_review,N3,卑下,ひげ,manual_review,N4,髭·鬚·髯,,,self,surface,父は毎朝ひげをそります。,,비하;스스로를 낮춤;겸비,https://ja.dict.naver.com/#/search?query=%E3%81%B2%E3%81%92
w_593dc0421f4fe2a6,N4,起こす,おこす,"일어나다, 깨다(누군가)",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,起(こ)す,,,naver,surface,敷石を起こす,,,https://ja.dict.naver.com/#/search?query=%E8%B5%B7%E3%81%93%E3%81%99
w_f84013f3855be75b,N4,踊り,おどり,춤,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,踊り·躍り,,,naver,surface,歌と踊りに鳴り物が加わる.,,,https://ja.dict.naver.com/#/search?query=%E8%B8%8A%E3%82%8A
w_377825a40acb43c0,N4,聞こえる,きこえる,들리다,accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,聞(こ)える,,,naver,surface,草むらから虫の音が聞こえる.,,,https://ja.dict.naver.com/#/search?query=%E8%81%9E%E3%81%93%E3%81%88%E3%82%8B
w_0bfe4152b243c799,N4,落とす,おとす,"떨어뜨리다, 잃다",accepted,catalog-absent-search-match,"공식 JLPT 목록에는 이 철자가 없지만, 네이버 검색 JLPT 배지가 앱 급수와 같다.",naver-level-missing,naver_level_missing,,,,match,N4,落(と)す,,,naver,surface,栗の実を揺り落とす,,,https://ja.dict.naver.com/#/search?query=%E8%90%BD%E3%81%A8%E3%81%99
