id,level,surface,reading_kana,meaning_ko,display_surface,decision,evidence,collides_with,example_jp
w_4dd00aad4051c89d,N5,のみもの,のみもの,마실 것,飲み物,example-exact,unique JMdict form occurs in curated example,,飲み物をご用意しましょうか?
w_35b6d26ef3b6e9a4,N5,たくさん,たくさん,많이,沢山,jmdict-unambiguous,common JMdict form,,店にお客がたくさん来る.
w_f12a1758289392e6,N5,なんこ,なんこ,몇 개,何個,example-exact,unique JMdict form occurs in curated example,,みかんなら何個でも食べられる
w_59c56506badd0309,N5,しつもんする,しつもんする,질문하다,質問する,manual-context,meaning and inflection reviewed,,何でもないように質問する
w_208233a335ee5617,N5,かぞく,かぞく,가족,家族,example-exact,unique JMdict form occurs in curated example,w_67a0aa7719932f47,家族と共に過ごしている
w_4e598e988857cbcc,N5,ちず,ちず,지도,地図,example-exact,unique JMdict form occurs in curated example,w_48838b2b24ace976,テーブルの上に地図を広げる.
w_095ed617a1f2ddc6,N5,いただきます,いただきます,잘 먹겠습니다.,頂きます,example-exact,unique JMdict form occurs in curated example,,飛んだ御造作を頂きます
w_d2cb5673c3552ae0,N5,にかい,にかい,2층,二階,example-exact,unique JMdict form occurs in curated example,,荷物を二階に担ぎ上げる
w_b685581646830d57,N5,こちらこそ,こちらこそ,저야말로,,keep-kana-reviewed,explicit modern-kana preference,,こちらこそ、いつもお世話になっております
w_dd5441408bb2d6e5,N5,いつつ,いつつ,"다섯, 다섯 개",五つ,example-exact,unique JMdict form occurs in curated example,,大きく五つに分けられる
w_7ce478d1c4361987,N5,さんかい,さんかい,"3회, 세 번",三回,example-exact,unique JMdict form occurs in curated example,,すすぎは三回します.
w_794b4334a01909b6,N5,おく,おく,"놓다, 두다",置く,manual-homophone,meaning-sensitive JMdict choice,,ラベンダーの香りのルームフレグランスをベッドルームに置く
w_8d8468b11a0a1fa9,N5,いろいろ,いろいろ,여러 가지임,色々,jmdict-unambiguous,common JMdict form,w_1cd9d956ac65ad3e,いろいろの施策を講じた.
w_b36e1365aa1b125e,N5,こうちゃ,こうちゃ,홍차,紅茶,example-exact,unique JMdict form occurs in curated example,,コールドブリューはコーヒーはもちろん、緑茶∙紅茶などにも応用できる
w_4fdd9f73dd3e62a1,N5,ページ,ページ,"페이지, 쪽",,keep-kana-reviewed,explicit modern-kana preference,,ロ：次のページの9ページを探してみてください。
w_3c9e0c4d130ffe55,N5,かかる,かかる,"(시간·비용이) 들다, 걸리다",掛かる,manual-homophone,meaning-sensitive JMdict choice,,気に掛かる
w_df4f6ee7671f5be7,N5,どちら,どちら,"어느 쪽, 어느 분",,needs-review,ambiguous or no common kanji form,,どちらが勝つかすぐには予断できない.
w_579247e75349eed1,N5,たぶん,たぶん,아마,多分,example-exact,unique JMdict form occurs in curated example,,多分くるでしょう
w_f55e5f14ba3846ae,N5,つかれる,つかれる,"피곤하다, 지치다",疲れる,example-exact,unique JMdict form occurs in curated example,w_880411bf45f00ee7,このごろは嫌なことばかり重なって疲れる.
w_58075cd1141bf75e,N5,かど,かど,모퉁이,角,example-exact,unique JMdict form occurs in curated example,,角を曲がれば大通りに出る.
w_d09fc1ab6a37791a,N5,つく,つく,(전기가) 켜지다,点く,manual-homophone,meaning-sensitive JMdict choice,w_1fb1432fdae5690a,電気が付く
w_b44959bb47bfe991,N5,おおぜい,おおぜい,많이,大勢,manual-homophone,meaning-sensitive JMdict choice,,客が大ぜい押しかける.
w_6ec2f5694292b36a,N5,とる,とる,"집다, 잡다",取る,manual-homophone,meaning-sensitive JMdict choice,w_318b933aa9deca08,背伸びして棚の荷物を取る
w_8ff89e4ad25acab4,N5,ゆっくり,ゆっくり,천천히,,keep-kana,ambiguous or no common kanji form,,安全を第一にゆっくり運転する
w_bc6fa5bc224dbef9,N5,いくら,いくら,얼마(값),,needs-review,ambiguous or no common kanji form,,そんな例はいくらもある
w_df6f8bed5b534092,N5,にだい,にだい,두 대(자전거),,needs-review,ambiguous or no common kanji form,,電気バス2台を導入する
w_f6ee1c3e08f743b5,N5,まど,まど,창문,窓,example-exact,unique JMdict form occurs in curated example,w_76f2a5f23785b571,窓を閉めてください
w_da1aa3397e73de5f,N5,ラジオ,ラジオ,라디오,,keep-kana,ambiguous or no common kanji form,,大衆がトーク・ラジオを反映するのでなく，トーク・ラジオが大衆を反映するのだ
w_76d36dbae91cd174,N5,あらう,あらう,씻다,洗う,example-exact,unique JMdict form occurs in curated example,w_336db92caf7feb12,"なべの耳を取って,鍋尻からなべ底まできれいに洗う"
w_89e001a5ce85e728,N5,きれいです,きれいです,깨끗합니다,綺麗です,manual-context,meaning and inflection reviewed,,両者の顔を見ればどれほどパンチをくらったのか分かりますが、チャンピオンの顔はきれいです。
w_417e0e04947ef7f1,N5,ちょうど,ちょうど,"정각, 정확히",丁度,example-exact,unique JMdict form occurs in curated example,,9時丁度にショーが始まる。
w_e93be767be58449e,N5,シャツ,シャツ,셔츠,,keep-kana,ambiguous or no common kanji form,,シャツを直に着る
w_8d966401d98ece25,N5,おいしい,おいしい,맛있다,美味しい,example-exact,unique JMdict form occurs in curated example,,安い上に美味しい
w_44191f7e02bdbca4,N5,かける,かける,(안경을) 쓰다,掛ける,manual-homophone,meaning-sensitive JMdict choice,,度なし眼鏡を掛ける
w_9f4bac962871acc8,N5,おじさん,おじさん,"아저씨, 삼촌",,needs-review,ambiguous or no common kanji form,,少禿げの小父さん
w_e3d3cc0b38f77224,N5,にキロ,にキロ,2킬로미터,二キロ,manual-context,meaning and inflection reviewed,,学校から半径二キロ以内にある.
w_99b6b975daf6a3ba,N5,パーティー,パーティー,파티,,keep-kana,ambiguous or no common kanji form,,誕生パーティーです。
w_1f3b58708b016b7f,N5,そば,そば,"옆, 곁",,needs-review,ambiguous or no common kanji form,,私のそばにいてください。
w_6331df76a706ca58,N5,べんり,べんり,편리함,便利,example-exact,unique JMdict form occurs in curated example,,コンピューターの便利さも知らずに手作業だけに固執するのは‘船に刻みて剣を求む’を頼むことに他ならない.
w_8d6e887ea2a8b1d8,N5,すき,すき,좋아함,好き,example-exact,unique JMdict form occurs in curated example,,食べ物は熱いのが好きだ.
w_25cb652a0907a58a,N5,プール,プール,"풀, 수영장",,keep-kana,ambiguous or no common kanji form,,Aプール以外にもダイビングプールがあるなら定期的に教室が開かれている。
w_d812138a73807a63,N5,ギター,ギター,기타(악기),,keep-kana,ambiguous or no common kanji form,,当時は，とにかくギターが好きで，特にフィンガー・ピッキングスタイルのギター・レコードを集めました
w_426a6ad568579abe,N5,ピアノ,ピアノ,피아노,,keep-kana,ambiguous or no common kanji form,,一流のピアノの先生に就ける.
w_ab8f966f8b3fb171,N5,ほんや,ほんや,"책방, 서점",本屋,example-exact,unique JMdict form occurs in curated example,,本屋がレコード店を兼営している.
w_31df4b7ee4f99920,N5,けっこう,けっこう,"충분함, 이제 됐음",結構,example-exact,unique JMdict form occurs in curated example,w_139be75fa16ee36c,もう結構です
w_e1b4921bc5902b92,N5,きって,きって,우표,切手,example-exact,unique JMdict form occurs in curated example,w_50bb9153fcefb747,切手を一枚ください
w_f2a724a359b23f1d,N5,アパート,アパート,아파트,,keep-kana,ambiguous or no common kanji form,,僕はアパートに住んでいる
w_e8bf101d5d035c24,N5,はじめて,はじめて,처음으로,初めて,manual-homophone,meaning-sensitive JMdict choice,,この小説は初めて邦訳された.
w_b29a4071c1fdde80,N5,スカート,スカート,"스커트, 치마",,keep-kana,ambiguous or no common kanji form,,ロ：お母さん、寒くても、足首までくるスカートよりはミニスカートのほうが可愛いんですよ。
w_5c2d9927c4fbe888,N5,おもしろい,おもしろい,재미있다,面白い,example-exact,unique JMdict form occurs in curated example,w_08908a001d06c5eb,レベチで面白い
w_4dd0a16ccf0be360,N5,まずい,まずい,맛없다,不味い,jmdict-unambiguous,common JMdict form,,魚の焼き直しはまずい.
w_6313f9284b018464,N5,いちだい,いちだい,한 대(자전거),一台,example-exact,unique JMdict form occurs in curated example,,学生である私は車どころか、自転車一台を買うお金もない。
w_dc9a475966f7d870,N5,おばさん,おばさん,이모,,needs-review,ambiguous or no common kanji form,,おばさんは第1子のお産を順調にした。
w_035875c57095c84d,N5,それでは,それでは,그럼,,keep-kana-reviewed,explicit modern-kana preference,,それでは、また
w_09b924ace3343845,N5,スキー,スキー,스키,,keep-kana,ambiguous or no common kanji form,,彼はスキーに行った.
w_72e1cb4ba34fc820,N5,べんきょうがしたい,べんきょうがしたい,공부를 하고 싶다,勉強がしたい,manual-context,meaning and inflection reviewed,,らいねんはにほんでべんきょうがしたいです。
w_e1f8cbd438805e5e,N5,だんだん,だんだん,"점점, 점차",,needs-review,ambiguous or no common kanji form,,段段と夜が明けてくる
w_2c647eb6552532c8,N5,エレベーター,エレベーター,엘리베이터,,keep-kana,ambiguous or no common kanji form,,エレベーターが故障する
w_0b4b42871f3bf612,N5,ナイフ,ナイフ,"나이프, 칼",,keep-kana,ambiguous or no common kanji form,,ナイフでは切れない
w_f84e4af1931a66af,N5,だいどころ,だいどころ,부엌,台所,example-exact,unique JMdict form occurs in curated example,w_29fd13f6f877956f,農家といっても昔とは違う。台所にはピカピカのガス・レンジもある
w_f12b7cd5ea51cf7a,N5,はる,はる,붙이다,貼る,manual-homophone,meaning-sensitive JMdict choice,,ポスターを張る[はがす].
w_3ddce52a2caa733a,N5,みち,みち,길,道,example-exact,unique JMdict form occurs in curated example,w_84eb455426c5a140,道なき道を踏み分けて進んだ.
w_f7dcb52b9848b040,N5,ふく,ふく,(바람이) 불다,吹く,example-exact,unique JMdict form occurs in curated example,,肌寒い風が吹く.
w_31141f538d260d85,N5,つまらない,つまらない,시시하다,,keep-kana-reviewed,explicit modern-kana preference,,相手の指導で勝利するのは、自分としてはつまらない。
w_380dce933ba2841c,N5,たいてい,たいてい,대체로,大抵,example-exact,unique JMdict form occurs in curated example,w_ff87bb6908adb37e,休日は大抵家で過ごす
w_950bfdb77150e285,N5,ゆうめいだ,ゆうめいだ,유명하다,有名だ,manual-context,meaning and inflection reviewed,,この街では，ランドマークともなっているふたつの高層ホテルが有名だ
w_99c47cc1df2be37c,N5,おもい,おもい,무겁다,重い,example-exact,unique JMdict form occurs in curated example,w_6544e85ecab8bd79,殺人に対する罪科は重い.
w_3759f3c20989a136,N5,おやすみなさい,おやすみなさい,안녕히 주무세요,お休みなさい,jmdict-unambiguous,common JMdict form,,‘おやすみなさい'と言って寝てしまう
w_c88186a84ee8ef98,N5,まっすぐ,まっすぐ,"똑바로, 곧장",真っ直ぐ,jmdict-unambiguous,common JMdict form,,消息を聞いてまっすぐに飛んで来た.
w_03de143ddf3b2084,N5,げんかん,げんかん,현관,玄関,example-exact,unique JMdict form occurs in curated example,,玄関の外に外灯をつける.
w_4e9b8a9d056fb2bc,N5,わたる,わたる,건너다,渡る,example-exact,unique JMdict form occurs in curated example,w_5e33ed6531ff94b6,流れの速い[はげしい]川を渡る.
w_d631fd55fbc45d65,N5,たいへん,たいへん,"힘듦, 큰일임",大変,example-exact,unique JMdict form occurs in curated example,,その節は大変お世話になりました
w_232fd4c69bca3059,N5,さす,さす,"(우산을) 쓰다, 받다",,needs-review,ambiguous or no common kanji form,,雨傘を差す
w_87351a3c5f2160a9,N5,ときどき,ときどき,때때로,時々,example-exact,unique JMdict form occurs in curated example,,時々、皮膚にちくっとした痛みを感じる
w_7bd42a74b3f21cd5,N5,あした,あした,내일,明日,manual-homophone,meaning-sensitive JMdict choice,w_a6b4b27691fedbcb,天気はあしたの朝から下り坂になるでしょう
w_d8dcbb01e7e6526f,N5,どういたしまして,どういたしまして,천만에요,どう致しまして,jmdict-unambiguous,common JMdict form,,昨日は失礼しました。どういたしまして、こちらこそ失礼いたしました
w_728f59d1c6f9c5f4,N5,はく,はく,"(바지를) 입다, (신발·양말을) 신다",穿く,example-exact,unique JMdict form occurs in curated example,,ズボンを穿く
w_fa01e280023d6933,N5,きる,きる,자르다,切る,example-exact,unique JMdict form occurs in curated example,,丸太をひき切る.
w_6b2eba28cfff51ce,N5,デパート,デパート,백화점,,keep-kana,ambiguous or no common kanji form,,デパートは朝10時に店開きをする.
w_3f7247bd3bb94359,N5,ぎんこう,ぎんこう,은행,銀行,example-exact,unique JMdict form occurs in curated example,w_391386c4147ce4af,銀行の方に勤めている.
w_9ac4eb19ccb26979,N5,きらいです,きらいです,싫습니다,嫌いです,manual-context,meaning and inflection reviewed,,お好きですか。いいえ、嫌いです
w_54eb6541260bdfb0,N5,セーター,セーター,스웨터,,keep-kana,ambiguous or no common kanji form,,白いセーターは汚れやすいのが欠点だ.
w_8d91f549cf7aaf0c,N5,いれる,いれる,넣다,入れる,example-exact,unique JMdict form occurs in curated example,,空き箱に時計を入れる.
w_262ab17a9d5f3f78,N5,だいじょうぶ,だいじょうぶ,괜찮음,大丈夫,jmdict-unambiguous,common JMdict form,,だいじょうぶです。
w_e25c204a215c6bc5,N5,たのしい,たのしい,즐겁다,楽しい,example-exact,unique JMdict form occurs in curated example,w_8d526aa1c09b62a2,外出は子供の視点から見てみるとよりいっそう楽しいものなのです。(ラワナ・ブラックウェル)
w_a48055accfd30bcb,N5,いたい,いたい,아프다,痛い,example-exact,unique JMdict form occurs in curated example,w_03f1fbfb1a4e6d33,靴が窮屈で足が痛い.
w_d8b942a0bbdb88b3,N5,ちがいます,ちがいます,"아닙니다, 틀립니다",違います,manual-context,meaning and inflection reviewed,,それは違います。
w_d1ca2d4600b815b5,N5,つよい,つよい,"강하다, 세다",強い,example-exact,unique JMdict form occurs in curated example,w_f0b5618bdca7c0ae,水圧が強い
w_412d7a3479a4f8a3,N5,にひき,にひき,두 마리(고양이),二匹,manual-context,meaning and inflection reviewed,,二匹の猫がベランダで日向ぼっこをしている
w_20734b71d5df79ef,N5,あし,あし,"발, 다리",足,example-exact,unique JMdict form occurs in curated example,w_ea3d8a4e6ed4bc82,足任せに歩く
w_e08e5b558857d76c,N5,かぜ,かぜ,감기,風邪,manual-homophone,meaning-sensitive JMdict choice,,冷たい風に当たってかぜがぶりかえす
w_969c1949db151a59,N5,あぶない,あぶない,위험하다,危ない,example-exact,unique JMdict form occurs in curated example,,人の跡をつけることは危ない.
w_72ca2a9c4ae1017a,N5,いぬ,いぬ,개,犬,example-exact,unique JMdict form occurs in curated example,w_0eb0f469760ebd47,犬の遠ぼえがする.
w_e2505ce2fcaf3d73,N5,おとな,おとな,어른,大人,example-exact,unique JMdict form occurs in curated example,,大人の真似をしている
w_3850f53c9864fb42,N5,ボールペン,ボールペン,볼펜,,keep-kana,ambiguous or no common kanji form,,ペンと言ったところでボールペンしかない.
w_92515fbd8be28da0,N5,はし,はし,"다리, 교량",橋,example-exact,unique JMdict form occurs in curated example,,洪水に橋が押し流された.
w_912a89defaf6cfee,N5,かぶる,かぶる,(모자를) 쓰다,被る,jmdict-unambiguous,common JMdict form,w_a89a3400861519f5,政策がかぶる部分がある
w_8599f01b62ec3b89,N5,しめる,しめる,(문을) 닫다,閉める,manual-homophone,meaning-sensitive JMdict choice,w_eff8aedd9cddd1a9,風が行かないように戸を閉める
w_946af014ad2b6ee1,N5,ごちそうさま,ごちそうさま,잘 먹었습니다,ご馳走様,jmdict-unambiguous,common JMdict form,,ロ：はい、ごちそうさまでした。
w_4e9ce7da04c4774f,N5,のぼる,のぼる,(산을) 오르다,登る,example-exact,unique JMdict form occurs in curated example,,あえぎあえぎ山を登る.
w_2e349e2b0bfb1818,N5,ストーブ,ストーブ,"스토브, 난로",,keep-kana,ambiguous or no common kanji form,,ストーブにやかんを掛ける
w_4c0800ab464a16af,N5,あに,あに,"오빠, 형",兄,example-exact,unique JMdict form occurs in curated example,,弟が兄を怒らせる.
w_05f6406e9ab15b32,N5,のる,のる,"(차, 비행기를) 타다",乗る,example-exact,unique JMdict form occurs in curated example,w_79bf77758ff71250,家族が同じ車に乗る.
w_b378eb40b444bf6e,N5,しずかに,しずかに,조용히,静かに,example-exact,unique JMdict form occurs in curated example,w_4afc49c52138c0b2,皆さん、お静かにしてください
w_7233f2e9e3f48a80,N5,きっぷ,きっぷ,"표, 티켓",切符,example-exact,unique JMdict form occurs in curated example,,コンサートの切符を手に入れる
w_be0c2a8c15c51508,N5,おす,おす,"누르다, 밀다",押す,manual-homophone,meaning-sensitive JMdict choice,w_b38cfcd67ff64a8e,リセットボタンを押す.
w_aef420c79bbeb170,N5,ひま,ひま,"틈, 짬, 여가",暇,example-exact,unique JMdict form occurs in curated example,,暇を作る
w_661368cc7fe5e352,N5,ひまでした,ひまでした,한가했습니다,暇でした,manual-context,meaning and inflection reviewed,,きのうのごごはひまでした。
w_fc031afb71d1faf9,N5,のむ,のむ,"마시다, 삼키다",飲む,example-exact,unique JMdict form occurs in curated example,w_633b31657d51ba57,車座になって酒を飲む.
w_e3e2e1235da0170b,N5,げんき,げんき,건강함,元気,example-exact,unique JMdict form occurs in curated example,w_3c23adf18899bec0,元気其の物
w_0d26f4ecd5bf00c4,N5,あたたかい,あたたかい,따뜻하다,暖かい,manual-homophone,meaning-sensitive JMdict choice,w_cc7c486ee55f4e80,去年に引き替え、今年は暖かい
w_7a7f3406f9ada41f,N5,おととい,おととい,그저께,一昨日,example-exact,unique JMdict form occurs in curated example,w_08414fa5796dc2f4,一昨日の晩から胃がちくちく痛む
w_4a7bd63718f4b15d,N5,かう,かう,"사다, 구입하다",買う,example-exact,unique JMdict form occurs in curated example,w_7b4426d6f2756a8c,米を買う金で肥料を買う.
w_03bf1e956aafced1,N5,かぜをひく,かぜをひく,감기에 들다,風邪をひく,example-exact,unique JMdict form occurs in curated example,,寝冷えで風邪をひく.
w_e7f652ae64d8d30e,N5,すう,すう,(담배를) 피우다,吸う,example-exact,unique JMdict form occurs in curated example,,腹ばいになってタバコを吸う.
w_31babae8ff2696b9,N5,あたらしい,あたらしい,새롭다,新しい,example-exact,unique JMdict form occurs in curated example,w_4d8d34ddefce90aa,色使いが新しい.
w_fa949ea235fc38a2,N5,かない,かない,아내,家内,example-exact,unique JMdict form occurs in curated example,,家内を店のレジに座らせる.
w_50ffd2ba2cc08cff,N5,ふつか,ふつか,"2일, 초이틀",二日,manual-homophone,meaning-sensitive JMdict choice,,一回転するのに二日かかる
w_7391edd8a2c4c832,N5,いちど,いちど,한 번,一度,example-exact,unique JMdict form occurs in curated example,w_01e3fc0965037397,一度クリックしただけで高額な料金を請求してくるワンクリ詐欺
w_de109ade477aaf3c,N5,にぎやかです,にぎやかです,떠들썩합니다,賑やかです,manual-context,meaning and inflection reviewed,,このまちはよるもにぎやかです。
w_35d37fc58d80467b,N5,きたない,きたない,"더럽다, 지저분하다",汚い,example-exact,unique JMdict form occurs in curated example,w_0577bd8fb5ad5060,机の上が汚い
w_f70f47a2eb8d0348,N5,うすい,うすい,얇다,薄い,example-exact,unique JMdict form occurs in curated example,w_d18208a487d10453,分が薄い.
w_9c2d3700794d4e08,N5,ゆうべ,ゆうべ,어젯밤,昨夜,manual-homophone,meaning-sensitive JMdict choice,,夕べの火事で村が灰の山と化した.
w_ac9371491b36f6a2,N5,ぼうし,ぼうし,모자,帽子,manual-homophone,meaning-sensitive JMdict choice,,娘に帽子をかぶせてやる.
w_c01b591995b9335a,N5,とぶ,とぶ,날다,飛ぶ,manual-homophone,meaning-sensitive JMdict choice,w_0f26111535f0210a,カモメが群れ飛ぶ.
w_d97131dc7962498d,N5,りっぱ,りっぱ,훌륭함,立派,example-exact,unique JMdict form occurs in curated example,,見掛けは立派
w_76ee0a63fa5a65c7,N5,とまる,とまる,멈추다,止まる,example-exact,unique JMdict form occurs in curated example,w_ac4a28f37332b6a0,心臓の鼓動が止まる.
w_1b21326fcb2d8421,N5,おきる,おきる,일어나다,起きる,example-exact,unique JMdict form occurs in curated example,w_39a427c6dee763c4,6時半に起きる
w_60b16783522d51c6,N5,やさい,やさい,야채,野菜,example-exact,unique JMdict form occurs in curated example,w_e506759b6040f2fd,野菜を取り合わせて作る
w_581fe312603d2f10,N5,あまい,あまい,달다,甘い,example-exact,unique JMdict form occurs in curated example,w_c0cc225df4622838,蜜[はちみつ]のように甘い.
w_b98ec43cc7ba192f,N5,おふろにはいる,おふろにはいる,목욕하다,お風呂に入る,example-exact,unique JMdict form occurs in curated example,,家に帰ってすぐお風呂に入る
w_49d4a04f0684a107,N5,へたです,へたです,서툽니다,下手です,manual-context,meaning and inflection reviewed,,何しろ，掃除と整理が恐ろしく下手ですから。まあ最近はやりのアバウト人間です
w_e297167e239ff6ac,N5,れいぞうこ,れいぞうこ,냉장고,冷蔵庫,example-exact,unique JMdict form occurs in curated example,,冷蔵庫が台所をふさいでいる.
w_43e6795a8212c516,N5,つとめる,つとめる,근무하다,勤める,example-exact,unique JMdict form occurs in curated example,w_87abe3f691f2a5ec,会社に勤める.
w_995636b83892830d,N5,ちかい,ちかい,가깝다,近い,example-exact,unique JMdict form occurs in curated example,,彼の腕前は神業に近い.
w_1890c7a3bfe4781f,N5,からい,からい,맵다,辛い,example-exact,unique JMdict form occurs in curated example,w_73af8c94eaaf7836,サンショウは小粒でもぴりりと辛い.
w_38c3571b4d7aa01a,N5,ちいさい,ちいさい,작다,小さい,example-exact,unique JMdict form occurs in curated example,w_be0a4fc6dd818d25,そのうちのいくつか[幾人]はとても小さい.
w_9898d6dcfbf040cb,N5,でんわ,でんわ,전화,電話,example-exact,unique JMdict form occurs in curated example,w_1b9d8a75f2b91a55,電話を待っています。
w_2a02d91ea5c3fe03,N5,ゆうびんきょく,ゆうびんきょく,우체국,郵便局,example-exact,unique JMdict form occurs in curated example,,郵便局はすぐ手近にある
w_cc4944533f0911af,N5,てんき,てんき,날씨,天気,example-exact,unique JMdict form occurs in curated example,w_76d3472883c72fe8,天気が全然よくありません。
w_54750cb36373fd36,N5,あそぶ,あそぶ,놀다,遊ぶ,example-exact,unique JMdict form occurs in curated example,,母の側[傍]で子供が遊ぶ.
w_3c8a052098392b1a,N5,おりる,おりる,내리다,降りる,manual-homophone,meaning-sensitive JMdict choice,w_631cf27db2365483,夜の帳が下りる
w_ae4c2c199424ca13,N5,じょうず,じょうず,"능숙함, 잘함",上手,example-exact,unique JMdict form occurs in curated example,w_1335d3c40feacf5d,彼女は踊りが上手だ
w_655c49430ab10602,N5,たいせつ,たいせつ,"중요함, 소중함",大切,example-exact,unique JMdict form occurs in curated example,,彼は，クラフトマンシップの大切さを訴えています
w_deddb7435f3d9350,N5,あるく,あるく,걷다,歩く,example-exact,unique JMdict form occurs in curated example,w_a8ec89206d4fff44,足に任せて歩く.
w_58ebca3b2291ffb6,N5,せっけん,せっけん,비누,石けん,example-exact,unique JMdict form occurs in curated example,,リキッドタイプの石けん
w_7be0da7ae0c0dfbd,N5,でかける,でかける,외출하다,出掛ける,example-exact,unique JMdict form occurs in curated example,,出掛ける支度をする.
w_1dc2a01d84d091eb,N5,しんぶんをよむ,しんぶんをよむ,신문을 읽다,新聞を読む,manual-context,meaning and inflection reviewed,,ちちはまいあさしんぶんをよむ。
w_926c2576f47ea612,N5,わたす,わたす,건네다,渡す,example-exact,unique JMdict form occurs in curated example,w_b6ec99032db8c18a,舟で人を渡す.
w_1183a3688186cdef,N5,シャワーをあびる,シャワーをあびる,샤워하다,シャワーを浴びる,example-exact,unique JMdict form occurs in curated example,,熱い水でシャワーを浴びる。
w_3884f3361dd5cc56,N5,いそがしい,いそがしい,바쁘다,忙しい,example-exact,unique JMdict form occurs in curated example,,暮れはなかなか忙しい.
w_5b4445d187ac74c5,N5,はたち,はたち,"20세, 스무 살",二十歳,manual-homophone,meaning-sensitive JMdict choice,,来年は二十になる
w_43e0b900a9d10cc3,N5,わかい,わかい,젊다,若い,example-exact,unique JMdict form occurs in curated example,w_4358ae52c7f1b4d8,老境に入っても気が若い.
w_90e10f6847d27828,N5,とおい,とおい,멀다,遠い,example-exact,unique JMdict form occurs in curated example,,千里が遠いといっても
w_44bc31f10823f315,N5,けっこんする,けっこんする,결혼하다,結婚する,manual-context,meaning and inflection reviewed,,良縁を得て結婚する.
w_7c2fb518a9047447,N5,おととし,おととし,재작년,一昨年,jmdict-unambiguous,common JMdict form,,明けておととしの春.
w_f7ee39d72844c141,N5,おぼえる,おぼえる,"기억하다, 암기하다",覚える,example-exact,unique JMdict form occurs in curated example,w_c19e856353cf049c,人の名前を覚える
w_923e439a3ee8ba0c,N5,つめたい,つめたい,차갑다,冷たい,example-exact,unique JMdict form occurs in curated example,,冬の乾いた風が冷たい.
w_0500788ad7f74945,N5,かえす,かえす,되돌려주다,返す,example-exact,unique JMdict form occurs in curated example,w_113c116f7b2b3d71,贈り物を突返す
w_17b789a30464c292,N5,うまれる,うまれる,태어나다,生まれる,example-exact,unique JMdict form occurs in curated example,w_9f48fc575582aa14,月が満ちて生まれる.
w_cea1a4546e3779a7,N5,こうえん,こうえん,공원,公園,example-exact,unique JMdict form occurs in curated example,w_0868c5b03add8f4b,公園を一回りする
w_1a3198f41e5aabef,N5,えらぶ,えらぶ,"고르다, 선택하다",選ぶ,example-exact,unique JMdict form occurs in curated example,w_f71f6fdcc2491b8d,相性の人を選ぶ.
w_0ec81e693208cfb1,N5,りょうり,りょうり,요리,料理,example-exact,unique JMdict form occurs in curated example,w_afca84ce3be3c5e2,はい、料理するのが好きです。
w_accc231b1738056c,N5,くだもの,くだもの,과일,果物,example-exact,unique JMdict form occurs in curated example,,器に果物をいっぱい盛る.
