priority,risk_score,literal,meanings_ko,meanings_en,signals,linked_word_count,linked_examples,qa_status,qa_note
P0,56,泣,"[""울다""]","[""cry"", ""weep"", ""moan""]",single_compound_evidence;copied_linked_word_gloss,1,N3:泣く=울다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,湧,"[""솟아나다"", ""생겨나다""]","[""boil"", ""ferment"", ""seethe"", ""uproar"", ""breed""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:湧く=솟아나다, 생겨나다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,溢,"[""넘쳐나다"", ""흔하다""]","[""overflow"", ""inundate"", ""spill""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:溢れる=넘쳐나다,흔하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,溺,"[""물에 빠지다""]","[""drown"", ""indulge""]",single_compound_evidence;copied_linked_word_gloss,1,N3:溺れる=물에 빠지다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,滲,"[""번지다"", ""스미다""]","[""imbued with""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:滲む=번지다, 스미다; 번지다, 스며들다",auto,Manual format normalization 2026-08-18: 중복 뜻 제거.
P0,56,滴,"[""물방울""]","[""drip"", ""drop""]",single_compound_evidence;copied_linked_word_gloss,1,N2:水滴=물방울,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,漂,"[""떠돌다"", ""감돌다""]","[""drift"", ""float (on liquid)""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:漂う=떠돌다,감돌다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,漬,"[""담그다"", ""적시다"", ""절이다""]","[""pickling"", ""soak"", ""moisten"", ""steep""]",single_compound_evidence;copied_linked_word_gloss,1,"N4:漬ける=담그다, 적시다, 절이다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,濁,"[""흐려지다"", ""탁해지다""]","[""voiced"", ""uncleanness"", ""wrong"", ""nigori"", ""impurity""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:濁る=흐려지다, 탁해지다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,濡,"[""젖다""]","[""get wet"", ""damp"", ""make love""]",single_compound_evidence;copied_linked_word_gloss,1,N3:濡れる=젖다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,炒,"[""재료를 불에 볶다""]","[""broil"", ""parch"", ""roast"", ""fry""]",single_compound_evidence;copied_linked_word_gloss,1,N2:炒る=재료를 불에 볶다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,煌,"[""환하게"", ""밝게""]","[""glitter"", ""gleam"", ""twinkle""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:煌々と=환하게, 밝게",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,煎,"[""콩·차 등을 볶다""]","[""broil"", ""parch"", ""roast"", ""boil""]",single_compound_evidence;copied_linked_word_gloss,1,N2:煎る=콩·차 등을 볶다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,煮,"[""끓다"", ""끓이다""]","[""boil"", ""cook""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:煮る=끓다, 끓이다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,犠,"[""희생""]","[""sacrifice""]",single_compound_evidence;copied_linked_word_gloss,1,N1:犠牲=희생,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,狂,"[""미치다"", ""어긋나다""]","[""lunatic"", ""insane"", ""crazy"", ""confuse""]",single_compound_evidence;copied_linked_word_gloss,1,"N3:狂う=미치다, 어긋나다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,狭,"[""좁히다""]","[""cramped"", ""narrow"", ""contract"", ""tight""]",single_compound_evidence;copied_linked_word_gloss,1,N2:狭める=좁히다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,珍,"[""흔치않다""]","[""rare"", ""curious"", ""strange""]",single_compound_evidence;copied_linked_word_gloss,1,N4:珍しい=흔치않다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,痢,"[""설사""]","[""diarrhea""]",single_compound_evidence;copied_linked_word_gloss,1,N1:下痢=설사,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,痩,"[""살이 빠지다""]","[""get thin""]",single_compound_evidence;copied_linked_word_gloss,1,N4:痩せる=살이 빠지다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,眩,"[""눈부시다""]","[""faint"", ""dizzy""]",single_compound_evidence;copied_linked_word_gloss,1,N2:眩しい=눈부시다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,眺,"[""바라보다"", ""조망하다""]","[""stare"", ""watch"", ""look at"", ""see"", ""scrutinize""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:眺める=바라보다,조망하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,睨,"[""노려보다"", ""주시하다""]","[""glaring at"", ""authority"", ""power"", ""scowl at""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:睨む=노려보다, 주시하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,瞭,"[""분명함""]","[""clear""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:明瞭=명료함, 분명함",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,籠,"[""틀어박히다"", ""가득 차다""]","[""basket"", ""devote oneself"", ""seclude oneself"", ""cage"", ""coop"", ""implied""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:籠もる=틀어박히다, 가득 차다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,紳,"[""신사""]","[""sire"", ""good belt"", ""gentleman""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:紳士=신사, 남자",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,罵,"[""욕하다"", ""매도하다""]","[""abuse"", ""insult""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:罵る=욕하다, 매도하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,脆,"[""무르다"", ""약하다"", ""깨지기 쉽다""]","[""brittle"", ""fragile"", ""easy to beat"", ""sentimental"", ""susceptible""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:脆い=무르다, 약하다, 깨지기 쉽다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,舐,"[""핥다"", ""깔보다""]","[""lick"", ""lap up"", ""burn up"", ""taste"", ""undergo"", ""underrate"", ""despise""]",single_compound_evidence;copied_linked_word_gloss,1,N1:舐める=핥다; 깔보다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,艦,"[""군함""]","[""warship""]",single_compound_evidence;copied_linked_word_gloss,1,N1:軍艦=군함,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,茂,"[""우거지다"", ""무성하다""]","[""overgrown"", ""grow thick"", ""be luxuriant""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:茂る=우거지다, 무성하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,茹,"[""삶다""]","[""boil"", ""seethe""]",single_compound_evidence;copied_linked_word_gloss,1,N3:茹でる=삶다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,萎,"[""시들다"", ""쪼그라들다""]","[""wither"", ""droop"", ""lame""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:萎む=시들다, 쪼그라들다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,蘇,"[""되살아나다"", ""부활하다""]","[""be resuscitated"", ""revived"", ""perilla"", ""shiso""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:蘇る=되살아나다, 부활하다; 되살아나다, 소생하다",auto,Manual format normalization 2026-08-18: 중복 뜻 제거.
P0,56,虜,"[""포로""]","[""captive"", ""barbarian"", ""low epithet for the enemy""]",single_compound_evidence;copied_linked_word_gloss,1,N1:捕虜=포로,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,蜜,"[""꿀""]","[""honey"", ""nectar"", ""molasses""]",single_compound_evidence;copied_linked_word_gloss,1,N1:蜂蜜=꿀,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,詫,"[""사과하다""]","[""apologize""]",single_compound_evidence;copied_linked_word_gloss,1,N1:詫びる=사과하다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,誂,"[""주문하다"", ""맞추다""]","[""order""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:誂える=주문하다, 맞추다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,諦,"[""포기하다""]","[""truth"", ""clarity"", ""abandon"", ""give up""]",single_compound_evidence;copied_linked_word_gloss,1,N1:諦める=포기하다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,諾,"[""승낙""]","[""consent"", ""assent"", ""agreement""]",single_compound_evidence;copied_linked_word_gloss,1,N1:承諾=승낙,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,譲,"[""양보하다"", ""양도하다""]","[""defer"", ""turnover"", ""transfer"", ""convey""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:譲る=양보하다,양도하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,貫,"[""관철하다""]","[""pierce"", ""8 1/3lbs"", ""penetrate"", ""brace""]",single_compound_evidence;copied_linked_word_gloss,1,N1:貫く=관철하다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,貰,"[""받다""]","[""get"", ""have"", ""obtain""]",single_compound_evidence;copied_linked_word_gloss,1,N4:貰う=받다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,貼,"[""붙이다""]","[""stick"", ""paste"", ""apply""]",single_compound_evidence;copied_linked_word_gloss,1,N5:貼る=붙이다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,貿,"[""무역""]","[""trade"", ""exchange""]",single_compound_evidence;copied_linked_word_gloss,1,N4:貿易=무역,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,賜,"[""허가하다"", ""주다""]","[""grant"", ""gift"", ""boon"", ""results""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:賜る=허가하다, 주다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,賭,"[""걸다"", ""내기하다""]","[""gamble"", ""wager"", ""bet""]",single_compound_evidence;copied_linked_word_gloss,1,"N3:賭ける=걸다, 내기하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,贅,"[""사치""]","[""luxury""]",single_compound_evidence;copied_linked_word_gloss,1,"N3:贅沢=사치, 호화",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,跨,"[""넘다"", ""걸터넘다""]","[""be"", ""sit or stand astride"", ""extend over"", ""straddle""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:跨ぐ=넘다, 걸터넘다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,跳,"[""뛰어오르다"", ""튀다""]","[""hop"", ""leap up"", ""spring"", ""jerk"", ""prance"", ""buck"", ""splash"", ""sputter"", ""snap""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:跳ねる=뛰어오르다, 튀다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,躓,"[""발이 걸려 넘어지다""]","[""stumble""]",single_compound_evidence;copied_linked_word_gloss,1,N2:躓く=발이 걸려 넘어지다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,這,"[""기다"", ""기어가다""]","[""crawl"", ""creep"", ""grovel"", ""trail (vines)""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:這う=기다, 기어가다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,遜,"[""겸손""]","[""humble"", ""modest""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:謙遜=겸양, 겸손",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,遡,"[""거슬러 올라가다""]","[""go upstream"", ""retrace the past""]",single_compound_evidence;copied_linked_word_gloss,1,N2:遡る=거슬러 올라가다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,醜,"[""못생기다"", ""추하다""]","[""ugly"", ""unclean"", ""shame"", ""bad looking""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:醜い=못생기다, 추하다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,銘,"[""각자"", ""각각""]","[""inscription"", ""signature (of artisan)""]",single_compound_evidence;copied_linked_word_gloss,1,"N2:銘々=각자, 각각",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,鍛,"[""단련하다""]","[""forge"", ""discipline"", ""train""]",single_compound_evidence;copied_linked_word_gloss,1,N2:鍛える=단련하다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,陶,"[""도기"", ""도자기""]","[""pottery"", ""porcelain""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:陶器=도기, 도자기",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,隈,"[""구석구석까지"", ""샅샅이""]","[""corner"", ""nook"", ""recess""]",single_compound_evidence;copied_linked_word_gloss,1,"N1:隈なく=구석구석까지, 샅샅이",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,雇,"[""고용하다""]","[""employ"", ""hire""]",single_compound_evidence;copied_linked_word_gloss,1,N3:雇う=고용하다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,頷,"[""끄덕이다""]","[""nod approval""]",single_compound_evidence;copied_linked_word_gloss,1,N2:頷く=끄덕이다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,56,騙,"[""속이다""]","[""deceive""]",single_compound_evidence;copied_linked_word_gloss,1,N3:騙す=속이다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,55,曲,"[""돌다"", ""(방향을) 틀다""]","[""bend"", ""music"", ""melody"", ""composition"", ""pleasure"", ""injustice"", ""fault"", ""curve"", ""crooked"", ""perverse"", ""lean""]",context_parentheses;copied_linked_word_gloss,5,"N1:婉曲=완곡함 | N2:曲線=곡선 | N3:曲げる=구부리다, 굽히다 | N3:作曲=작곡 | N3:曲がる=돌다, (방향을) 틀다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P0,55,登,"[""(산을) 오르다""]","[""ascend"", ""climb up""]",context_parentheses;copied_linked_word_gloss,5,N1:登校=등교 | N3:登場=등장 | N3:登山=등산 | N3:登録=등록 | N5:登る=(산을) 오르다,auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P1,54,就,"[""(지위에)오르다"", ""취임하다""]","[""concerning"", ""settle"", ""take position"", ""depart"", ""study"", ""per""]",context_parentheses;copied_linked_word_gloss,4,"N1:就業=취업, 근무 | N2:就く=(지위에)오르다,취임하다 | N2:就任=취임 | N3:就職=취직",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P1,53,偏,"[""기울다"", ""치우치다(편중)""]","[""partial"", ""side"", ""left-side radical"", ""inclining"", ""biased""]",context_parentheses;copied_linked_word_gloss,3,"N1:偏見=편견 | N1:偏り=치우침, 편향 | N2:偏る=기울다,치우치다(편중)",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P1,53,内,"[""~이내"", ""안쪽""]","[""inside"", ""within"", ""between"", ""among"", ""house"", ""home""]",grammar_or_enumeration_markup,17,"N1:内陸=내륙 | N1:内訳=내역 | N1:内心=속마음, 내심 | N1:内閣=내각 | N1:内乱=내란",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
P1,53,吸,"[""(담배를) 피우다""]","[""suck"", ""imbibe"", ""inhale"", ""sip""]",context_parentheses;copied_linked_word_gloss,3,"N3:吸収=흡수, 빨아들임 | N3:呼吸=호흡 | N5:吸う=(담배를) 피우다",auto,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
